index,open,close,high,low,vol,amount
2016-01-04,11.81,10.54,11.81,10.53,140399.0,157014608.0
2016-01-05,9.62,10.74,11.13,9.62,227575.0,241876512.0
2016-01-06,10.92,10.89,11.01,10.63,127542.0,139068480.0
2016-01-07,10.71,9.92,10.71,9.85,29641.0,30607386.0
2016-01-08,10.21,9.9,10.39,9.03,182080.0,181469392.0
2016-01-11,9.92,9.67,10.43,9.43,199626.0,201338048.0
2016-01-12,9.91,9.49,9.92,9.29,152007.0,145629888.0
2016-01-13,9.59,8.6,9.68,8.56,156927.0,143872800.0
2016-01-14,8.43,9.15,9.2,8.11,207179.0,180296752.0
2016-01-15,9.82,9.26,9.82,9.1,368126.0,350296064.0
2016-01-18,9.27,9.2,9.43,8.79,202179.0,186536336.0
2016-01-19,9.13,9.61,9.79,9.03,276151.0,264090496.0
2016-01-20,9.6,9.23,9.69,9.21,236242.0,223858336.0
2016-01-21,8.93,8.46,9.2,8.33,202141.0,180039424.0
2016-01-22,8.66,8.58,8.78,8.23,149975.0,128316920.0
2016-01-25,8.8,8.88,9.18,8.69,163552.0,147330448.0
2016-01-26,8.84,8.17,8.84,8.03,147504.0,125733016.0
2016-01-27,8.19,8.38,8.42,7.66,158852.0,128078912.0
2016-01-28,8.32,7.92,8.32,7.73,92382.0,74925040.0
2016-01-29,7.73,8.31,8.39,7.73,147608.0,121433232.0
2016-02-01,8.31,8.24,8.48,8.02,89393.0,74388256.0
2016-02-02,8.33,8.46,8.49,8.25,107846.0,91501176.0
2016-02-03,8.35,8.43,8.46,8.19,73610.0,61695780.0
2016-02-04,8.43,8.53,8.65,8.39,132244.0,114012552.0
2016-02-05,8.54,8.51,8.6,8.32,101291.0,86597096.0
2016-02-15,8.17,8.3,8.38,8.01,70632.0,58576024.0
2016-02-16,8.31,8.6,8.65,8.31,110375.0,95030016.0
2016-02-17,8.64,8.74,8.92,8.54,166151.0,146691424.0
2016-02-18,8.84,8.63,8.87,8.58,159255.0,139835840.0
2016-02-19,8.58,8.62,8.67,8.45,102080.0,88177896.0
2016-02-22,8.76,8.81,8.91,8.68,178803.0,158674416.0
2016-02-23,8.89,8.71,8.89,8.62,132026.0,116707544.0
2016-02-24,8.68,8.74,8.82,8.46,160932.0,139999552.0
2016-02-25,8.73,7.89,8.73,7.86,177031.0,147493904.0
2016-02-26,8.03,7.84,8.08,7.55,124481.0,98449944.0
2016-02-29,7.85,7.23,7.87,7.13,111769.0,82910264.0
2016-03-01,7.24,7.96,7.96,7.03,345972.0,264568800.0
2016-03-02,8.01,8.41,8.47,7.86,300321.0,247339184.0
2016-03-03,8.49,8.26,8.49,8.16,167942.0,140315328.0
2016-03-04,8.13,8.01,8.24,7.68,136973.0,110527984.0
2016-03-07,8.08,8.14,8.23,8.08,101329.0,83438280.0
2016-03-08,8.14,8.41,8.45,7.74,159594.0,131095632.0
2016-03-09,8.27,8.57,8.63,8.03,205979.0,173994880.0
2016-03-10,8.73,9.06,9.4,8.62,477074.0,435650016.0
2016-03-11,8.92,9.1,9.4,8.59,320776.0,292423968.0
2016-03-14,9.12,9.29,9.42,8.93,296684.0,276975968.0
2016-03-15,9.15,9.18,9.23,8.9,240712.0,220232416.0
2016-03-16,9.17,9.18,9.29,8.93,167509.0,153717136.0
2016-03-17,9.16,9.28,9.3,9.01,226617.0,210157024.0
2016-03-18,9.33,9.95,9.95,9.14,376976.0,365311264.0
2016-03-21,10.04,10.06,10.43,9.84,353374.0,358328736.0
