index,open,close,high,low,vol,amount
2016-01-04,10.0,9.04,10.0,9.04,323405.0,302240000.0
2016-01-05,8.16,8.9,9.22,8.16,471803.0,414963008.0
2016-01-06,8.92,9.18,9.18,8.92,287099.0,261120992.0
2016-01-07,9.04,8.27,9.04,8.26,86056.0,74441000.0
2016-01-08,8.61,8.3,8.7,7.44,323674.0,268537984.0
2016-01-11,8.16,7.47,8.25,7.47,282638.0,221347008.0
2016-01-12,7.47,7.5,7.66,7.18,219159.0,163112992.0
2016-01-13,7.6,7.11,7.65,7.03,185659.0,137518000.0
2016-01-14,6.9,7.4,7.45,6.79,243664.0,173531008.0
2016-01-15,7.24,7.14,7.56,7.0,225645.0,163874000.0
2016-01-18,7.01,7.27,7.4,6.8,206484.0,149212000.0
2016-01-19,7.2,8.0,8.0,7.18,330704.0,249132992.0
2016-01-20,7.98,7.98,8.24,7.86,456495.0,368192000.0
2016-01-21,7.77,7.41,8.02,7.39,270711.0,209595008.0
2016-01-22,7.55,7.55,7.69,7.28,202110.0,152183008.0
2016-01-25,7.65,7.59,7.72,7.51,149601.0,114252000.0
2016-01-26,7.49,6.83,7.51,6.83,234548.0,167900000.0
2016-01-27,6.86,6.69,6.96,6.18,264943.0,172994000.0
2016-01-28,6.57,6.33,6.66,6.2,172999.0,112924000.0
2016-01-29,6.29,6.96,6.96,6.21,182428.0,123249000.0
2016-02-01,7.28,6.92,7.48,6.65,400925.0,286400992.0
2016-02-02,6.98,7.13,7.25,6.83,292145.0,207110000.0
2016-02-03,7.03,7.25,7.4,6.93,333258.0,240750000.0
2016-02-04,7.23,7.32,7.45,7.16,320630.0,234423008.0
2016-02-05,7.29,7.1,7.37,7.09,184762.0,133185000.0
2016-02-15,6.81,7.0,7.1,6.65,147999.0,102674000.0
2016-02-16,7.14,7.7,7.7,7.14,316175.0,236232000.0
2016-02-17,7.69,7.78,7.98,7.54,462348.0,357476992.0
2016-02-18,7.78,7.76,8.15,7.65,465915.0,365600992.0
2016-02-19,7.67,7.92,8.11,7.65,403847.0,318409984.0
2016-02-22,8.13,8.11,8.35,7.93,434661.0,352340000.0
2016-02-23,8.04,7.92,8.06,7.8,314400.0,249072992.0
2016-02-24,7.82,7.97,8.04,7.8,270550.0,214395008.0
2016-02-25,8.18,8.26,8.77,8.05,1375065.0,1177012992.0
2016-02-26,8.3,7.7,8.45,7.48,863847.0,677822016.0
2016-02-29,7.53,6.93,7.53,6.93,513784.0,362889984.0
2016-03-01,7.05,7.18,7.24,6.93,383986.0,273608992.0
2016-03-02,7.18,7.66,7.89,7.13,519168.0,390332992.0
2016-03-03,7.61,7.78,8.3,7.61,684296.0,543937984.0
2016-03-04,7.89,7.58,8.15,7.4,670923.0,526532000.0
2016-03-07,7.84,7.7,7.96,7.51,382724.0,295121984.0
2016-03-08,7.63,7.57,7.68,7.15,375654.0,277048992.0
2016-03-09,7.38,7.39,7.54,7.2,245093.0,180890000.0
2016-03-10,7.44,7.27,7.49,7.26,201137.0,148144992.0
2016-03-11,7.19,7.19,7.33,7.09,195787.0,140972992.0
2016-03-14,7.4,7.44,7.57,7.33,284035.0,212296000.0
2016-03-15,7.44,7.46,7.64,7.36,288085.0,215424000.0
2016-03-16,7.48,7.31,7.59,7.22,232562.0,171876992.0
2016-03-17,7.35,7.5,7.57,7.31,313526.0,234218000.0
2016-03-18,7.54,7.75,7.82,7.53,450571.0,347752992.0
2016-03-21,7.9,8.05,8.2,7.73,605789.0,480497984.0
2016-03-22,7.96,7.88,8.04,7.84,414301.0,328200000.0
2016-03-23,7.81,7.94,7.99,7.8,379151.0,299727008.0
2016-03-24,7.88,7.74,8.03,7.69,372527.0,292120000.0
2016-03-25,7.7,7.75,7.92,7.67,202546.0,157172992.0
2016-03-28,7.79,7.68,7.89,7.67,214425.0,167092992.0
2016-03-29,7.62,7.48,7.7,7.32,227432.0,170576992.0
2016-03-30,7.52,7.72,7.78,7.5,209173.0,159278000.0
2016-03-31,7.75,7.67,7.78,7.65,231987.0,178931008.0
2016-04-01,7.66,7.53,7.67,7.44,197577.0,148442000.0
2016-04-05,7.53,7.91,7.99,7.53,421623.0,329788000.0
2016-04-06,7.87,7.9,8.13,7.8,407960.0,323456000.0
2016-04-07,7.96,7.93,8.1,7.71,570909.0,453260000.0
2016-04-08,7.8,7.97,8.08,7.6,510688.0,402679008.0
2016-04-11,8.02,8.03,8.28,7.92,461253.0,372956000.0
2016-04-12,7.96,7.88,7.99,7.79,325571.0,256060992.0
2016-04-13,7.9,7.91,8.06,7.9,381844.0,304579008.0
2016-04-14,7.96,7.94,7.98,7.86,227704.0,179974000.0
2016-04-15,7.88,7.9,8.0,7.83,270013.0,213024992.0
2016-04-18,7.83,7.73,7.86,7.7,186465.0,144392992.0
2016-04-19,7.78,7.78,7.87,7.7,178703.0,139118000.0
2016-04-20,7.84,7.31,7.84,7.1,364579.0,270638016.0
2016-04-21,7.29,7.22,7.42,7.2,173776.0,127049000.0
2016-04-22,7.17,7.26,7.3,7.1,139846.0,100665000.0
2016-04-25,7.28,7.21,7.28,7.11,98414.0,70772000.0
